,frame.time,count_First,count_Last,count_CumSum
4,2024-01-11 11:05:00+01:00,1,1.0,16.0
5,2024-01-11 11:06:00+01:00,3,0.0,19.0
6,2024-01-11 11:07:00+01:00,2,0.0,21.0
7,2024-01-11 11:08:00+01:00,5,0.0,26.0
8,2024-01-11 11:09:00+01:00,0,0.0,26.0
9,2024-01-11 11:10:00+01:00,1,0.0,27.0
10,2024-01-11 11:11:00+01:00,1,0.0,28.0
11,2024-01-11 11:12:00+01:00,0,0.0,28.0
12,2024-01-11 11:13:00+01:00,1,0.0,29.0
13,2024-01-11 11:14:00+01:00,0,0.0,29.0
14,2024-01-11 11:15:00+01:00,1,0.0,30.0
15,2024-01-11 11:16:00+01:00,1,0.0,31.0
16,2024-01-11 11:17:00+01:00,3,1.0,33.0
17,2024-01-11 11:18:00+01:00,2,0.0,35.0
18,2024-01-11 11:19:00+01:00,1,0.0,36.0
19,2024-01-11 11:20:00+01:00,2,0.0,38.0
20,2024-01-11 11:21:00+01:00,6,2.0,42.0
21,2024-01-11 11:22:00+01:00,6,0.0,48.0
22,2024-01-11 11:23:00+01:00,2,0.0,50.0
23,2024-01-11 11:24:00+01:00,0,1.0,49.0
24,2024-01-11 11:25:00+01:00,2,0.0,51.0
25,2024-01-11 11:26:00+01:00,1,0.0,52.0
26,2024-01-11 11:27:00+01:00,3,1.0,54.0
27,2024-01-11 11:28:00+01:00,1,0.0,55.0
28,2024-01-11 11:29:00+01:00,1,0.0,56.0
29,2024-01-11 11:30:00+01:00,4,1.0,59.0
30,2024-01-11 11:31:00+01:00,6,1.0,64.0
31,2024-01-11 11:32:00+01:00,5,0.0,69.0
32,2024-01-11 11:33:00+01:00,2,2.0,69.0
33,2024-01-11 11:34:00+01:00,8,0.0,77.0
34,2024-01-11 11:35:00+01:00,4,3.0,78.0
35,2024-01-11 11:36:00+01:00,3,2.0,79.0
36,2024-01-11 11:37:00+01:00,7,3.0,83.0
37,2024-01-11 11:38:00+01:00,9,0.0,92.0
38,2024-01-11 11:39:00+01:00,12,5.0,99.0
39,2024-01-11 11:40:00+01:00,8,5.0,102.0
40,2024-01-11 11:41:00+01:00,2,4.0,100.0
41,2024-01-11 11:42:00+01:00,14,12.0,102.0
42,2024-01-11 11:43:00+01:00,5,4.0,103.0
43,2024-01-11 11:44:00+01:00,4,1.0,106.0
44,2024-01-11 11:45:00+01:00,7,2.0,111.0
45,2024-01-11 11:46:00+01:00,11,1.0,121.0
46,2024-01-11 11:47:00+01:00,11,4.0,128.0
47,2024-01-11 11:48:00+01:00,10,3.0,135.0
48,2024-01-11 11:49:00+01:00,8,7.0,136.0
49,2024-01-11 11:50:00+01:00,17,4.0,149.0
50,2024-01-11 11:51:00+01:00,6,5.0,150.0
51,2024-01-11 11:52:00+01:00,7,4.0,153.0
52,2024-01-11 11:53:00+01:00,20,3.0,170.0
53,2024-01-11 11:54:00+01:00,19,10.0,179.0
54,2024-01-11 11:55:00+01:00,13,10.0,182.0
55,2024-01-11 11:56:00+01:00,22,9.0,195.0
56,2024-01-11 11:57:00+01:00,18,4.0,209.0
57,2024-01-11 11:58:00+01:00,23,10.0,222.0
58,2024-01-11 11:59:00+01:00,21,5.0,238.0
59,2024-01-11 12:00:00+01:00,26,11.0,253.0
60,2024-01-11 12:01:00+01:00,22,5.0,270.0
61,2024-01-11 12:02:00+01:00,29,20.0,279.0
62,2024-01-11 12:03:00+01:00,38,9.0,308.0
63,2024-01-11 12:04:00+01:00,38,27.0,319.0
64,2024-01-11 12:05:00+01:00,21,10.0,330.0
65,2024-01-11 12:06:00+01:00,24,13.0,341.0
66,2024-01-11 12:07:00+01:00,19,14.0,346.0
67,2024-01-11 12:08:00+01:00,17,25.0,338.0
68,2024-01-11 12:09:00+01:00,23,20.0,341.0
69,2024-01-11 12:10:00+01:00,14,13.0,342.0
70,2024-01-11 12:11:00+01:00,11,16.0,337.0
71,2024-01-11 12:12:00+01:00,25,14.0,348.0
72,2024-01-11 12:13:00+01:00,14,6.0,356.0
73,2024-01-11 12:14:00+01:00,8,12.0,352.0
74,2024-01-11 12:15:00+01:00,12,11.0,353.0
75,2024-01-11 12:16:00+01:00,8,12.0,349.0
76,2024-01-11 12:17:00+01:00,10,18.0,341.0
77,2024-01-11 12:18:00+01:00,15,56.0,300.0
78,2024-01-11 12:19:00+01:00,0,0.0,300.0
79,2024-01-11 12:20:00+01:00,0,0.0,300.0
80,2024-01-11 12:21:00+01:00,0,0.0,300.0
81,2024-01-11 12:22:00+01:00,0,0.0,300.0
82,2024-01-11 12:23:00+01:00,30,14.0,316.0
83,2024-01-11 12:24:00+01:00,18,9.0,325.0
84,2024-01-11 12:25:00+01:00,25,13.0,337.0
85,2024-01-11 12:26:00+01:00,17,14.0,340.0
86,2024-01-11 12:27:00+01:00,24,16.0,348.0
87,2024-01-11 12:28:00+01:00,21,23.0,346.0
88,2024-01-11 12:29:00+01:00,13,30.0,329.0
89,2024-01-11 12:30:00+01:00,6,8.0,327.0
90,2024-01-11 12:31:00+01:00,11,19.0,319.0
91,2024-01-11 12:32:00+01:00,8,21.0,306.0
92,2024-01-11 12:33:00+01:00,6,15.0,297.0
93,2024-01-11 12:34:00+01:00,23,18.0,302.0
94,2024-01-11 12:35:00+01:00,15,10.0,307.0
95,2024-01-11 12:36:00+01:00,18,24.0,301.0
96,2024-01-11 12:37:00+01:00,14,24.0,291.0
97,2024-01-11 12:38:00+01:00,13,18.0,286.0
98,2024-01-11 12:39:00+01:00,13,10.0,289.0
99,2024-01-11 12:40:00+01:00,8,11.0,286.0
100,2024-01-11 12:41:00+01:00,19,20.0,285.0
101,2024-01-11 12:42:00+01:00,22,19.0,288.0
102,2024-01-11 12:43:00+01:00,8,14.0,282.0
103,2024-01-11 12:44:00+01:00,9,26.0,265.0
104,2024-01-11 12:45:00+01:00,5,7.0,263.0
105,2024-01-11 12:46:00+01:00,13,9.0,267.0
106,2024-01-11 12:47:00+01:00,3,16.0,254.0
107,2024-01-11 12:48:00+01:00,12,18.0,248.0
108,2024-01-11 12:49:00+01:00,9,13.0,244.0
109,2024-01-11 12:50:00+01:00,13,17.0,240.0
110,2024-01-11 12:51:00+01:00,6,21.0,225.0
111,2024-01-11 12:52:00+01:00,11,13.0,223.0
112,2024-01-11 12:53:00+01:00,5,13.0,215.0
113,2024-01-11 12:54:00+01:00,9,8.0,216.0
114,2024-01-11 12:55:00+01:00,13,22.0,207.0
115,2024-01-11 12:56:00+01:00,8,8.0,207.0
116,2024-01-11 12:57:00+01:00,13,10.0,210.0
117,2024-01-11 12:58:00+01:00,8,13.0,205.0
118,2024-01-11 12:59:00+01:00,6,4.0,207.0
119,2024-01-11 13:00:00+01:00,10,18.0,199.0
120,2024-01-11 13:01:00+01:00,16,16.0,199.0
121,2024-01-11 13:02:00+01:00,11,7.0,203.0
122,2024-01-11 13:03:00+01:00,16,14.0,205.0
123,2024-01-11 13:04:00+01:00,12,15.0,202.0
124,2024-01-11 13:05:00+01:00,3,15.0,190.0
125,2024-01-11 13:06:00+01:00,19,26.0,183.0
126,2024-01-11 13:07:00+01:00,5,14.0,174.0
127,2024-01-11 13:08:00+01:00,15,21.0,168.0
128,2024-01-11 13:09:00+01:00,16,7.0,177.0
129,2024-01-11 13:10:00+01:00,17,9.0,185.0
130,2024-01-11 13:11:00+01:00,17,5.0,197.0
131,2024-01-11 13:12:00+01:00,11,7.0,201.0
132,2024-01-11 13:13:00+01:00,14,13.0,202.0
133,2024-01-11 13:14:00+01:00,27,17.0,212.0
134,2024-01-11 13:15:00+01:00,20,20.0,212.0
135,2024-01-11 13:16:00+01:00,23,12.0,223.0
136,2024-01-11 13:17:00+01:00,13,8.0,228.0
137,2024-01-11 13:18:00+01:00,21,23.0,226.0
138,2024-01-11 13:19:00+01:00,12,11.0,227.0
139,2024-01-11 13:20:00+01:00,9,3.0,233.0
140,2024-01-11 13:21:00+01:00,16,10.0,239.0
141,2024-01-11 13:22:00+01:00,18,14.0,243.0
142,2024-01-11 13:23:00+01:00,7,15.0,235.0
143,2024-01-11 13:24:00+01:00,7,6.0,236.0
144,2024-01-11 13:25:00+01:00,16,18.0,234.0
145,2024-01-11 13:26:00+01:00,9,12.0,231.0
146,2024-01-11 13:27:00+01:00,9,9.0,231.0
147,2024-01-11 13:28:00+01:00,18,11.0,238.0
148,2024-01-11 13:29:00+01:00,9,7.0,240.0
149,2024-01-11 13:30:00+01:00,9,3.0,246.0
150,2024-01-11 13:31:00+01:00,10,8.0,248.0
151,2024-01-11 13:32:00+01:00,17,14.0,251.0
152,2024-01-11 13:33:00+01:00,14,19.0,246.0
153,2024-01-11 13:34:00+01:00,20,25.0,241.0
154,2024-01-11 13:35:00+01:00,11,18.0,234.0
155,2024-01-11 13:36:00+01:00,19,11.0,242.0
156,2024-01-11 13:37:00+01:00,17,24.0,235.0
157,2024-01-11 13:38:00+01:00,14,10.0,239.0
158,2024-01-11 13:39:00+01:00,14,12.0,241.0
159,2024-01-11 13:40:00+01:00,12,12.0,241.0
160,2024-01-11 13:41:00+01:00,23,21.0,243.0
161,2024-01-11 13:42:00+01:00,16,28.0,231.0
162,2024-01-11 13:43:00+01:00,14,26.0,219.0
163,2024-01-11 13:44:00+01:00,8,12.0,215.0
164,2024-01-11 13:45:00+01:00,9,15.0,209.0
165,2024-01-11 13:46:00+01:00,11,12.0,208.0
166,2024-01-11 13:47:00+01:00,15,19.0,204.0
167,2024-01-11 13:48:00+01:00,13,13.0,204.0
168,2024-01-11 13:49:00+01:00,8,16.0,196.0
169,2024-01-11 13:50:00+01:00,15,18.0,193.0
170,2024-01-11 13:51:00+01:00,14,12.0,195.0
171,2024-01-11 13:52:00+01:00,11,14.0,192.0
172,2024-01-11 13:53:00+01:00,5,7.0,190.0
173,2024-01-11 13:54:00+01:00,17,19.0,188.0
174,2024-01-11 13:55:00+01:00,20,35.0,173.0
175,2024-01-11 13:56:00+01:00,6,21.0,158.0
176,2024-01-11 13:57:00+01:00,6,24.0,140.0
177,2024-01-11 13:58:00+01:00,10,21.0,129.0
178,2024-01-11 13:59:00+01:00,13,19.0,123.0
179,2024-01-11 14:00:00+01:00,12,42.0,93.0
180,2024-01-11 14:01:00+01:00,1,15.0,79.0
181,2024-01-11 14:02:00+01:00,4,24.0,59.0
182,2024-01-11 14:03:00+01:00,3,26.0,36.0
183,2024-01-11 14:04:00+01:00,3,39.0,0.0
