,frame.time,count_First,count_Last,count_CumSum
3,2024-01-08 11:10:00+01:00,5,2.0,23.0
4,2024-01-08 11:15:00+01:00,13,0.0,36.0
5,2024-01-08 11:20:00+01:00,13,3.0,46.0
6,2024-01-08 11:25:00+01:00,17,4.0,59.0
7,2024-01-08 11:30:00+01:00,35,6.0,88.0
8,2024-01-08 11:35:00+01:00,48,24.0,112.0
9,2024-01-08 11:40:00+01:00,26,14.0,124.0
10,2024-01-08 11:45:00+01:00,25,15.0,134.0
11,2024-01-08 11:50:00+01:00,60,43.0,151.0
12,2024-01-08 11:55:00+01:00,149,45.0,255.0
13,2024-01-08 12:00:00+01:00,118,35.0,338.0
14,2024-01-08 12:05:00+01:00,101,77.0,362.0
15,2024-01-08 12:10:00+01:00,103,55.0,410.0
16,2024-01-08 12:15:00+01:00,78,61.0,427.0
17,2024-01-08 12:20:00+01:00,38,68.0,397.0
18,2024-01-08 12:25:00+01:00,41,77.0,361.0
19,2024-01-08 12:30:00+01:00,44,39.0,366.0
20,2024-01-08 12:35:00+01:00,47,66.0,347.0
21,2024-01-08 12:40:00+01:00,60,95.0,312.0
22,2024-01-08 12:45:00+01:00,42,106.0,248.0
23,2024-01-08 12:50:00+01:00,30,51.0,227.0
24,2024-01-08 12:55:00+01:00,29,74.0,182.0
25,2024-01-08 13:00:00+01:00,42,43.0,181.0
26,2024-01-08 13:05:00+01:00,60,74.0,167.0
27,2024-01-08 13:10:00+01:00,77,45.0,199.0
28,2024-01-08 13:15:00+01:00,42,34.0,207.0
29,2024-01-08 13:20:00+01:00,48,28.0,227.0
30,2024-01-08 13:25:00+01:00,33,31.0,229.0
31,2024-01-08 13:30:00+01:00,68,73.0,224.0
32,2024-01-08 13:35:00+01:00,49,65.0,208.0
33,2024-01-08 13:40:00+01:00,41,44.0,205.0
34,2024-01-08 13:45:00+01:00,23,32.0,196.0
35,2024-01-08 13:50:00+01:00,45,55.0,186.0
36,2024-01-08 13:55:00+01:00,37,59.0,164.0
37,2024-01-08 14:00:00+01:00,6,76.0,94.0
38,2024-01-08 14:05:00+01:00,3,97.0,0.0
