,frame.time,count_First,count_Last,count_CumSum
3,2024-01-12 11:00:00+01:00,3,1.0,9.0
4,2024-01-12 11:01:00+01:00,0,1.0,8.0
5,2024-01-12 11:02:00+01:00,1,1.0,8.0
6,2024-01-12 11:03:00+01:00,3,2.0,9.0
7,2024-01-12 11:04:00+01:00,1,1.0,9.0
8,2024-01-12 11:05:00+01:00,1,1.0,9.0
9,2024-01-12 11:06:00+01:00,0,0.0,9.0
10,2024-01-12 11:07:00+01:00,1,0.0,10.0
11,2024-01-12 11:08:00+01:00,0,0.0,10.0
12,2024-01-12 11:09:00+01:00,0,0.0,10.0
13,2024-01-12 11:10:00+01:00,1,0.0,11.0
14,2024-01-12 11:11:00+01:00,5,1.0,15.0
15,2024-01-12 11:12:00+01:00,1,1.0,15.0
16,2024-01-12 11:13:00+01:00,0,1.0,14.0
17,2024-01-12 11:14:00+01:00,0,0.0,14.0
18,2024-01-12 11:15:00+01:00,1,2.0,13.0
19,2024-01-12 11:16:00+01:00,4,1.0,16.0
20,2024-01-12 11:17:00+01:00,5,4.0,17.0
21,2024-01-12 11:18:00+01:00,3,3.0,17.0
22,2024-01-12 11:19:00+01:00,0,0.0,17.0
23,2024-01-12 11:20:00+01:00,5,4.0,18.0
24,2024-01-12 11:21:00+01:00,4,4.0,18.0
25,2024-01-12 11:22:00+01:00,4,3.0,19.0
26,2024-01-12 11:23:00+01:00,3,2.0,20.0
27,2024-01-12 11:24:00+01:00,3,3.0,20.0
28,2024-01-12 11:25:00+01:00,2,3.0,19.0
29,2024-01-12 11:26:00+01:00,0,0.0,19.0
30,2024-01-12 11:27:00+01:00,3,4.0,18.0
31,2024-01-12 11:28:00+01:00,3,6.0,15.0
32,2024-01-12 11:29:00+01:00,4,2.0,17.0
33,2024-01-12 11:30:00+01:00,5,3.0,19.0
34,2024-01-12 11:31:00+01:00,4,5.0,18.0
35,2024-01-12 11:32:00+01:00,8,8.0,18.0
36,2024-01-12 11:33:00+01:00,4,5.0,17.0
37,2024-01-12 11:34:00+01:00,11,11.0,17.0
38,2024-01-12 11:35:00+01:00,6,9.0,14.0
39,2024-01-12 11:36:00+01:00,7,11.0,10.0
40,2024-01-12 11:37:00+01:00,8,12.0,6.0
41,2024-01-12 11:38:00+01:00,8,6.0,8.0
42,2024-01-12 11:39:00+01:00,10,17.0,1.0
43,2024-01-12 11:40:00+01:00,5,6.0,0.0
44,2024-01-12 11:41:00+01:00,25,5.0,20.0
45,2024-01-12 11:42:00+01:00,5,0.0,25.0
46,2024-01-12 11:43:00+01:00,8,1.0,32.0
47,2024-01-12 11:44:00+01:00,10,5.0,37.0
48,2024-01-12 11:45:00+01:00,9,3.0,43.0
49,2024-01-12 11:46:00+01:00,10,6.0,47.0
50,2024-01-12 11:47:00+01:00,15,5.0,57.0
51,2024-01-12 11:48:00+01:00,16,8.0,65.0
52,2024-01-12 11:49:00+01:00,18,10.0,73.0
53,2024-01-12 11:50:00+01:00,11,5.0,79.0
54,2024-01-12 11:51:00+01:00,15,4.0,90.0
55,2024-01-12 11:52:00+01:00,21,10.0,101.0
56,2024-01-12 11:53:00+01:00,26,18.0,109.0
57,2024-01-12 11:54:00+01:00,18,7.0,120.0
58,2024-01-12 11:55:00+01:00,17,8.0,129.0
59,2024-01-12 11:56:00+01:00,20,5.0,144.0
60,2024-01-12 11:57:00+01:00,13,6.0,151.0
61,2024-01-12 11:58:00+01:00,18,11.0,158.0
62,2024-01-12 11:59:00+01:00,18,10.0,166.0
63,2024-01-12 12:00:00+01:00,20,8.0,178.0
64,2024-01-12 12:01:00+01:00,29,13.0,194.0
65,2024-01-12 12:02:00+01:00,23,15.0,202.0
66,2024-01-12 12:03:00+01:00,16,6.0,212.0
67,2024-01-12 12:04:00+01:00,25,17.0,220.0
68,2024-01-12 12:05:00+01:00,33,14.0,239.0
69,2024-01-12 12:06:00+01:00,24,11.0,252.0
70,2024-01-12 12:07:00+01:00,31,18.0,265.0
71,2024-01-12 12:08:00+01:00,20,12.0,273.0
72,2024-01-12 12:09:00+01:00,13,9.0,277.0
73,2024-01-12 12:10:00+01:00,19,16.0,280.0
74,2024-01-12 12:11:00+01:00,16,13.0,283.0
75,2024-01-12 12:12:00+01:00,7,12.0,278.0
76,2024-01-12 12:13:00+01:00,20,18.0,280.0
77,2024-01-12 12:14:00+01:00,18,9.0,289.0
78,2024-01-12 12:15:00+01:00,25,18.0,296.0
79,2024-01-12 12:16:00+01:00,16,8.0,304.0
80,2024-01-12 12:17:00+01:00,23,19.0,308.0
81,2024-01-12 12:18:00+01:00,32,33.0,307.0
82,2024-01-12 12:19:00+01:00,26,21.0,312.0
83,2024-01-12 12:20:00+01:00,24,12.0,324.0
84,2024-01-12 12:21:00+01:00,18,15.0,327.0
85,2024-01-12 12:22:00+01:00,28,13.0,342.0
86,2024-01-12 12:23:00+01:00,16,7.0,351.0
87,2024-01-12 12:24:00+01:00,27,29.0,349.0
88,2024-01-12 12:25:00+01:00,25,20.0,354.0
89,2024-01-12 12:26:00+01:00,24,18.0,360.0
90,2024-01-12 12:27:00+01:00,24,22.0,362.0
91,2024-01-12 12:28:00+01:00,27,26.0,363.0
92,2024-01-12 12:29:00+01:00,22,18.0,367.0
93,2024-01-12 12:30:00+01:00,18,20.0,365.0
94,2024-01-12 12:31:00+01:00,23,13.0,375.0
95,2024-01-12 12:32:00+01:00,30,25.0,380.0
96,2024-01-12 12:33:00+01:00,22,20.0,382.0
97,2024-01-12 12:34:00+01:00,25,24.0,383.0
98,2024-01-12 12:35:00+01:00,29,29.0,383.0
99,2024-01-12 12:36:00+01:00,26,24.0,385.0
100,2024-01-12 12:37:00+01:00,25,36.0,374.0
101,2024-01-12 12:38:00+01:00,18,21.0,371.0
102,2024-01-12 12:39:00+01:00,16,17.0,370.0
103,2024-01-12 12:40:00+01:00,16,16.0,370.0
104,2024-01-12 12:41:00+01:00,22,20.0,372.0
105,2024-01-12 12:42:00+01:00,23,27.0,368.0
106,2024-01-12 12:43:00+01:00,11,15.0,364.0
107,2024-01-12 12:44:00+01:00,15,19.0,360.0
108,2024-01-12 12:45:00+01:00,17,23.0,354.0
109,2024-01-12 12:46:00+01:00,12,22.0,344.0
110,2024-01-12 12:47:00+01:00,21,31.0,334.0
111,2024-01-12 12:48:00+01:00,21,31.0,324.0
112,2024-01-12 12:49:00+01:00,20,16.0,328.0
113,2024-01-12 12:50:00+01:00,18,18.0,328.0
114,2024-01-12 12:51:00+01:00,20,19.0,329.0
115,2024-01-12 12:52:00+01:00,19,18.0,330.0
116,2024-01-12 12:53:00+01:00,20,30.0,320.0
117,2024-01-12 12:54:00+01:00,14,19.0,315.0
118,2024-01-12 12:55:00+01:00,11,22.0,304.0
119,2024-01-12 12:56:00+01:00,16,17.0,303.0
120,2024-01-12 12:57:00+01:00,20,20.0,303.0
121,2024-01-12 12:58:00+01:00,15,15.0,303.0
122,2024-01-12 12:59:00+01:00,16,20.0,299.0
123,2024-01-12 13:00:00+01:00,25,26.0,298.0
124,2024-01-12 13:01:00+01:00,24,22.0,300.0
125,2024-01-12 13:02:00+01:00,23,29.0,294.0
