"No.","Time","Source","Destination","Protocol","Length","Info"
"44","0.218178","Cisco_79:14:54","72:a7:65:83:6f:37","802.11","269","Probe Response, SN=3221, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"45","0.218383","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2831, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"46","0.219270","Cisco_79:14:51","72:a7:65:83:6f:37","802.11","257","Probe Response, SN=3222, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"47","0.219626","Cisco_79:14:51","72:a7:65:83:6f:37","802.11","257","Probe Response, SN=3222, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"48","0.221219","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2897, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"49","0.234240","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2832, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"50","0.236850","Cisco_79:14:50","72:a7:65:83:6f:37","802.11","150","Probe Response, SN=3223, FN=0, Flags=....R...C, BI=102, SSID=""eduroam""[Malformed Packet]"
"51","0.238874","Cisco_79:14:54","72:a7:65:83:6f:37","802.11","269","Probe Response, SN=3224, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"52","0.239192","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2859, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"53","0.239484","Cisco_79:14:51","72:a7:65:83:6f:37","802.11","257","Probe Response, SN=3225, FN=0, Flags=....R...C, BI=102, SSID=a1026c737401071298243048606c0301010706444520010d140b0502002b8d5b2a01002d1a34141bffffff00000000"
"54","0.239836","Cisco_79:14:51","72:a7:65:83:6f:37","802.11","257","Probe Response, SN=3225, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"55","0.253050","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2860, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"56","0.253930","16:7b:37:da:91:cf","16:7b:37:da:91:cf (16:7b:37:da:91:cf) (SA)","802.11","118","PV1 Reserved"
"57","0.258132","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2898, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"58","0.267622","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2833, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"59","0.269610","Cisco_79:14:54","56:8d:0c:6d:c4:d4","802.11","269","Probe Response, SN=3226, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"60","0.270329","Cisco_79:14:54","56:8d:0c:6d:c4:d4","802.11","269","Probe Response, SN=3226, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"61","0.303071","","","802.11","1224","Unknown protocol version: 2"
"62","0.313738","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2899, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"63","0.324068","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2834, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"64","0.325685","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2900, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"65","0.337172","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2835, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"66","0.341524","","","802.11","1971","Unknown protocol version: 3"
"67","0.359201","Cisco_ea:55:40","Broadcast","802.11","313","Beacon frame, SN=1633, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"68","0.362558","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2901, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"69","0.372051","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2836, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"70","0.374924","Cisco_ea:55:44","Broadcast","802.11","275","Beacon frame, SN=1634, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"71","0.392412","Xerox_00:00:00","02:f6:63:79:14:50","LLC","63","I, N(R)=0, N(S)=0; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"72","0.404698","Xerox_00:00:00","02:f6:63:79:14:50","LLC","63","I, N(R)=0, N(S)=0; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"73","0.408267","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1635, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"74","0.410376","","","802.11","566","Unknown protocol version: 2"
"75","0.417910","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2902, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"76","0.427436","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2837, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"77","0.430142","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2903, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"78","0.439589","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2838, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"79","0.447893","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2864, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"80","0.463615","Cisco_ea:55:40","Broadcast","802.11","313","Beacon frame, SN=1636, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"81","0.466998","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2904, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"82","0.476494","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2839, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"83","0.491993","AID 0x1426","87:cd:3c:76:9f:92 (87:cd:3c:76:9f:92) (DA)","802.11","1195","PV1 Reserved"
"84","0.496995","Cisco_79:14:51","Broadcast","802.11","263","Beacon frame, SN=2866, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"85","0.499079","","","802.11","1752","Unknown protocol version: 2"
"86","0.522386","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2905, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"87","0.531791","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2840, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"88","0.534607","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2906, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"89","0.545074","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2841, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"90","0.552325","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2867, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"91","0.564588","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2868, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
